CUSTOMER_PK,SALUTATION,FIRST_NAME,LAST_NAME,GENDER,MARITAL_STATUS,DAY_OF_BIRTH,BIRTH_COUNTRY,EMAIL_ADDRESS,CITY_NAME,ZIP_CODE,COUNTRY_NAME,GMT_TIMEZONE_OFFSET,PREFERRED_CUST_FLAG,REGISTRATION_TIME,
25335956,Miss,Anna,Earley,M,D,8/31/1952,Guinea,anna.earley@rujxvpmasbiesmyrl.com,Bethel,,,-5,TRUE,43:20.8,
25335957,Ms.,Nina,Delarosa,M,D,8/13/1945,Bhutan,nina.delarosa@la7xopy9l6k2zlnyt.org,Wildwood,36871,United States,-5,TRUE,43:20.8,
25336013,Miss,Gertrude,Snow,F,W,2/3/1958,Djibouti,gertrude.snow@so34iu1eopyxxyl.com,Riverside,69231,United States,-6,TRUE,43:20.8,
25336021,Mrs.,Deborah,Hodges,F,W,10/1/1987,Chile,deborah.hodges@tj.com,Stringtown,10162,United States,-5,FALSE,43:20.8,
25336031,Mr.,Travis,Stephens,M,U,3/17/1938,Montserrat,travis.stephens@askmvth4y4t.edu,Riverside,69231,United States,-6,TRUE,43:20.8,
25336041,Mr.,Michael,Burch,F,U,6/20/1959,Chile,michael.burch@semexb7zgjp8c9.com,Lakeside,49532,United States,-5,FALSE,43:20.8,
25336050,Dr.,Lance,Nixon,M,S,4/5/1962,Armenia,lance.nixon@dbc.com,Deerfield,49840,United States,,TRUE,43:20.8,
25336064,Dr.,Vincenzo,Kelley,F,U,11/23/1958,Western Sahara,vincenzo.kelley@cxi.org,Freeport,81844,United States,-7,TRUE,43:20.8,
25336069,Mr.,Steve,Bunch,F,D,9/5/1963,Russian Federation,steve.bunch@y.org,Newport,71521,United States,-6,TRUE,43:20.8,
25336083,Sir,Brian,Lloyd,M,S,3/15/1941,Niue,brian.lloyd@9uq4tnj4ubkhxqt.org,White Oak,56668,United States,-7,TRUE,43:20.8,
25336094,Sir,Milton,Amos,F,M,5/25/1962,Faroe Islands,milton.amos@xzrsyi7atgenmk.com,Kingston,54975,United States,-6,FALSE,43:20.8,
25336109,Sir,Leonard,Williams,M,W,12/15/1955,Chile,leonard.williams@c5thn5ybbce4xz.com,Pine Grove,84593,United States,-7,FALSE,43:20.8,
25336111,Mrs.,Dena,Anderson,M,S,9/2/1965,Djibouti,dena.anderson@kavbfvul0bv.org,Mount Vernon,98482,United States,-9,TRUE,43:20.8,
25336121,Dr.,Doris,Moore,M,D,11/11/1960,Burkina Faso,doris.moore@ozqsgbvim0c.com,Midway,21904,United States,-5,TRUE,43:20.8,
25336133,Dr.,Cecilia,,M,U,,Mauritania,cecilia.miller@7sfhylzbpczepig4.org,Five Forks,42293,United States,-5,,43:20.8,
25336136,Miss,Virginia,White,F,S,4/10/1976,Argentina,virginia.white@oplrxgcfntr.org,Centerville,50059,United States,-6,TRUE,43:20.8,
25336137,Ms.,Ruby,Rider,M,W,12/31/1945,Peru,ruby.rider@hiivm.org,Franklin,59101,United States,-6,FALSE,43:20.8,
25336158,Sir,Jimmy,Elkins,M,M,10/4/1930,Dominica,jimmy.elkins@tg4bxxlv2ja8.org,Liberty,53451,United States,-6,TRUE,43:20.8,
25336193,Dr.,Vincent,West,M,M,10/30/1932,Turkey,vincent.west@la0iddzky8mo8.org,Woodbury,54489,United States,-6,FALSE,43:20.8,
25336201,Mr.,Leonard,Young,M,U,12/13/1938,Trinidad And Tobago,leonard.young@pd8poyuvhuiark.edu,Mount Olive,48059,United States,-5,FALSE,43:20.8,
25336203,Dr.,Ruby,Harper,F,U,4/8/1977,Guatemala,ruby.harper@imtn.org,Crossroads,60534,United States,-6,FALSE,43:20.8,
25336218,Miss,Bernadette,Bell,F,D,3/22/1988,Nauru,bernadette.bell@s8sk.com,Fairfield,36192,United States,-6,TRUE,43:20.8,
25336229,Sir,Paul,Harper,F,D,5/16/1931,Bahrain,paul.harper@x08a.org,Cedar,51229,United States,-6,FALSE,43:20.8,
25336230,Dr.,Gerald,Donnelly,F,U,1/23/1932,Niger,gerald.donnelly@cyi.edu,Sunnyside,61952,United States,-7,TRUE,43:20.8,
25336259,Miss,Emily,Williams,F,M,10/23/1930,Latvia,emily.williams@vcu4nsg9i.org,Kirkland,67896,United States,-6,TRUE,43:20.8,
25336262,Dr.,Emily,Diaz,F,W,11/7/1940,Paraguay,emily.diaz@ds2bsd1.edu,Salem,28048,United States,-5,TRUE,43:20.8,
25336277,Miss,Margaret,Seifert,M,W,3/20/1931,Somalia,margaret.seifert@5ayc0j9.org,Guthrie,41423,United States,-5,FALSE,43:20.8,
25336281,Dr.,Andrea,Hamer,M,W,,,andrea.hamer@qs.edu,Riverdale,59391,United States,-6,FALSE,43:20.8,
25336329,Dr.,Henry,Giordano,M,D,3/7/1943,Grenada,henry.giordano@60qpfphmrbzf3.com,Highland,79454,United States,-6,TRUE,43:20.8,
25336332,Mr.,Carl,Soto,F,S,5/2/1951,Kyrgyzstan,carl.soto@buqvtiqrkrk.edu,Spring Valley,46060,United States,-6,FALSE,43:20.8,
25336339,Ms.,Elizabeth,Byrd,M,D,11/11/1960,Mongolia,elizabeth.byrd@0gdqrnkhtzzj.org,Woodville,64289,United States,-6,TRUE,43:20.8,
25336437,Dr.,Elvin,Morris,M,D,3/12/1927,American Samoa,elvin.morris@4.org,Crossroads,60534,United States,-6,TRUE,43:20.8,
25336454,Ms.,Ashley,Vasquez,F,S,10/1/1977,Antigua And Barbuda,ashley.vasquez@2y43.edu,Mount Olive,28059,United States,-5,FALSE,43:20.8,
25336463,Mrs.,Christine,Martinez,M,S,4/27/1929,Namibia,christine.martinez@4r.org,Mount Olive,38059,United States,-5,TRUE,43:20.8,
25336484,Dr.,Christina,Willingham,M,D,9/3/1939,Christmas Island,christina.willingham@ledtmaxrt.org,Liberty,83451,United States,-7,TRUE,43:20.8,
25336529,Ms.,Lanette,Hardison,F,U,12/23/1950,Comoros,lanette.hardison@1j3gbjv7iyky8.edu,Concord,64107,United States,-6,FALSE,43:20.8,
25336538,Dr.,James,Martin,M,M,12/30/1949,Pakistan,james.martin@x2re1rs54r.edu,Mount Zion,18054,United States,-5,FALSE,43:20.8,
25336594,Dr.,Michael,Steiner,M,D,2/2/1956,Cape Verde,michael.steiner@j4ftzrcozhdiod6m.edu,Glendale,43951,United States,-5,FALSE,43:20.8,
25336605,Sir,Rene,Aguilar,M,D,4/22/1971,Paraguay,rene.aguilar@pyzebk1e.org,Green Acres,67683,United States,-6,FALSE,43:20.8,
25336617,Sir,Robert,White,F,D,10/6/1989,Solomon Islands,robert.white@vbgxmkdhr4vxh.org,Taft,80589,United States,-7,FALSE,43:20.8,
25336632,Mr.,Kevin,Hayes,M,W,3/24/1964,Hong Kong,kevin.hayes@rgvjoplogmlkg7zn.edu,Greenville,51387,United States,-6,TRUE,43:20.8,
25336659,Mr.,Jason,Hudson,M,M,3/4/1980,Canada,jason.hudson@myl.com,Harmony,75804,United States,-6,TRUE,43:20.8,
25336673,Dr.,Nickolas,Herndon,M,S,7/26/1981,Italy,nickolas.herndon@njc.edu,Highland Park,26534,United States,-5,FALSE,43:20.8,
25336679,Miss,Elizabeth,French,M,D,3/1/1976,Macao,elizabeth.french@d.edu,Lakeview,78579,United States,-6,FALSE,43:20.8,
25336698,Dr.,Mario,Piazza,M,D,9/22/1982,Angola,mario.piazza@pmzoftcbjj16et6ui.org,Crossroads,20534,United States,-5,TRUE,43:20.8,
25336703,Dr.,Robert,Taylor,F,W,2/18/1968,Western Sahara,robert.taylor@v.edu,Berea,93804,United States,-8,TRUE,43:20.8,
25336709,Miss,Josephine,Schwartz,F,U,10/11/1948,Kazakhstan,josephine.schwartz@8fsemvhzq.edu,Mount Zion,88054,United States,-7,TRUE,43:20.8,
25336714,Mr.,Bobby,Daugherty,F,W,12/17/1991,Hungary,bobby.daugherty@uxgvj.com,Unionville,61711,United States,-6,FALSE,43:20.8,
25336717,Sir,Gregory,Weston,F,M,8/21/1977,Madagascar,gregory.weston@mhmjbsbkrq.edu,Woodland,44854,United States,-5,FALSE,43:20.8,
25336721,Mr.,Santos,Peterson,M,M,4/28/1927,Cayman Islands,santos.peterson@ngpaqfekkixfgmee.com,Woodlawn,44098,United States,-5,TRUE,43:20.8,
25336759,Miss,Josephine,Burchfield,M,S,4/21/1973,Panama,josephine.burchfield@fcj3qefujrkch.com,Greenwood,28828,United States,-5,FALSE,43:20.8,
25336768,Mrs.,Ignacia,Purnell,F,M,2/28/1968,Finland,ignacia.purnell@smdrub25f5.edu,Union Hill,67746,United States,-6,FALSE,43:20.8,
25336810,Sir,Frank,Lewis,F,S,6/20/1981,Guernsey,frank.lewis@nu47ee7.com,Riverdale,69391,United States,-6,FALSE,43:20.8,
25336811,Dr.,Amanda,Gilmore,M,U,4/30/1945,Japan,amanda.gilmore@m4saiigrohug.com,Highland Park,56534,United States,-6,TRUE,43:20.8,
25336825,Miss,Jacqueline,Chase,M,D,1/14/1955,Guinea-Bissau,jacqueline.chase@vfeo.edu,Hillcrest,53003,United States,-6,TRUE,43:20.8,
25336828,Sir,George,Larkin,M,S,2/1/1963,China,george.larkin@9yjqmkjnlmna.org,Pine Grove,24593,United States,-5,TRUE,43:20.8,
25336829,Miss,Elizabeth,Andrade,F,S,6/22/1931,Montenegro,elizabeth.andrade@lh3edb.edu,Nichols,67940,United States,-6,TRUE,43:20.8,
25336859,Sir,Jorge,Paterson,M,D,10/7/1981,Bangladesh,jorge.paterson@xy1ozren3zift0.com,Macedonia,31087,United States,-5,TRUE,43:20.8,
25336865,Mr.,Corey,Laws,F,W,11/21/1925,Indonesia,corey.laws@n2msmsdkkrix64.edu,Edwards,81409,United States,-7,FALSE,43:20.8,
25336876,Mr.,James,Stewart,M,D,1/21/1940,Ecuador,james.stewart@suejy9qfs.com,Fairfield,66192,United States,-6,TRUE,43:20.8,
25336908,Sir,Byron,Wheeler,M,D,8/28/1979,Kyrgyzstan,byron.wheeler@q1gro2j.edu,Bethel,55281,United States,-6,FALSE,43:20.8,
25336917,Dr.,Joseph,Christie,F,S,1/31/1982,Turkey,joseph.christie@s3z.org,Mount Zion,48054,United States,-5,FALSE,43:20.8,
25336962,Mr.,Manuel,Cope,F,M,11/15/1943,Israel,manuel.cope@frirxcpbslm.org,Spring Hill,26787,United States,-5,TRUE,43:20.8,
25336998,Ms.,Myrtle,Behrens,F,M,12/19/1942,Nicaragua,myrtle.behrens@6umvduybjo.edu,Oak Grove,48370,United States,-6,TRUE,43:20.8,
25337008,Sir,Charles,Jones,M,M,7/13/1978,Poland,charles.jones@bisdo.com,Sulphur Springs,68354,United States,-6,FALSE,43:20.8,
25337011,Mrs.,Rosalind,Miller,M,M,6/15/1970,United States,rosalind.miller@ckfb8p5nb9iru.org,Woodlawn,44098,United States,-6,FALSE,43:20.8,
25337068,Ms.,Carolyn,Craven,F,M,10/25/1953,Burundi,carolyn.craven@eaknxt4oqns7qg.com,Union,58721,United States,-6,TRUE,43:20.8,
25337103,Mrs.,Sherry,Holman,M,U,1/12/1966,Oman,sherry.holman@xbzaem.com,Wilson,26971,United States,-5,TRUE,43:20.8,
25337111,Dr.,Edward,Shipley,M,D,7/21/1980,Tunisia,edward.shipley@yd3bynujibqhq4.org,Oakwood,80169,United States,-7,FALSE,43:20.8,
25337117,Mr.,Ramon,Boone,F,D,8/6/1991,Cape Verde,ramon.boone@r4tdtojzv.com,Sunnyside,2552,United States,-5,TRUE,43:20.8,
25337120,Dr.,Robert,Johnson,F,U,12/13/1943,Ghana,robert.johnson@to2mxhlp5zaal7yi.org,Jackson,49583,United States,-6,TRUE,43:20.8,
25337153,Ms.,Louise,Hall,M,D,4/3/1989,Mozambique,louise.hall@kqjkqp39mf.com,Springdale,78883,United States,-6,FALSE,43:20.8,
25337239,Miss,Lucy,Smith,M,S,4/24/1963,Tokelau,lucy.smith@yc0qggson.edu,Hamilton,52808,United States,-6,TRUE,43:20.8,
25337270,Sir,Theodore,Palmer,M,S,12/14/1964,Denmark,theodore.palmer@fhdo6bhtvja.org,Fairfield,76192,United States,-6,FALSE,43:20.8,
25337298,Sir,Joseph,Sweeney,F,D,12/9/1985,Turkmenistan,joseph.sweeney@z0a1sfq7eb5y.org,Pleasant Hill,83604,United States,-7,FALSE,43:20.8,
25337303,Mr.,Eric,Bradley,M,S,5/5/1986,Qatar,eric.bradley@uybonvmn.com,Mount Pleasant,11933,United States,-5,FALSE,43:20.8,
25337308,Dr.,Allen,White,M,D,4/19/1980,Kiribati,allen.white@e4ubll9yshvis.org,Forest Hills,29237,United States,-5,FALSE,43:20.8,
25337316,Ms.,Janice,Tucker,F,U,8/9/1963,Martinique,janice.tucker@h6jzprvuv9v.edu,Argyle,58722,United States,-6,FALSE,43:20.8,
25337331,Mr.,John,Tilley,M,S,8/24/1927,New Caledonia,john.tilley@q0u3.com,New Hope,29431,United States,-5,TRUE,43:20.8,
25337377,Ms.,Gloria,Alexander,F,W,8/26/1973,French Polynesia,gloria.alexander@auze8pxe99t3.com,Appleton,44240,United States,-5,FALSE,43:20.8,
25337384,Mr.,Gordon,Campbell,F,S,2/3/1962,Iceland,gordon.campbell@mtret8uyc6v.com,Enterprise,81757,United States,-7,TRUE,43:20.8,
25337393,Sir,Robert,Braswell,F,U,7/22/1927,Portugal,robert.braswell@4con2vyzho.edu,Deerfield,79840,United States,-6,TRUE,43:20.8,
25337439,Dr.,Roland,Anderson,M,W,12/9/1987,Nauru,roland.anderson@eor1ekhmvhtie.edu,Clinton,88222,United States,-7,TRUE,43:20.8,
25337466,Mr.,Samuel,Ford,F,S,3/16/1938,Bolivia,samuel.ford@m.org,Mount Vernon,58482,United States,-6,TRUE,43:20.8,
25337477,Dr.,Oliver,Joyce,M,S,5/25/1987,Philippines,oliver.joyce@dmotg5md3hk.com,Brownsville,39310,United States,-5,FALSE,43:20.8,
25337548,Ms.,Ethel,Perkins,M,U,4/30/1973,Jersey,ethel.perkins@yjcm7po.edu,Concord,84107,United States,-7,FALSE,43:20.8,
25337552,Mrs.,Ethel,Acevedo,F,M,12/16/1956,Poland,ethel.acevedo@rmgecvmxjoh5.com,Altamont,29387,United States,-5,FALSE,43:20.8,
25337557,Dr.,Michael,Johnson,M,D,3/30/1931,Portugal,michael.johnson@av2spfhdgs.edu,Glendale,33951,United States,-5,TRUE,43:20.8,
25337564,Dr.,Blake,Boyce,M,M,10/11/1946,Slovenia,blake.boyce@yh8hcr.com,Sulphur Springs,68354,United States,-6,FALSE,43:20.8,
25337577,Dr.,Ronald,Allen,M,U,10/31/1986,Guinea,ronald.allen@g5nzej3lbpgcxmvpk3.edu,Forest Hills,79237,United States,-6,FALSE,43:20.8,
25337580,Sir,Fred,Reed,F,S,4/26/1976,Singapore,fred.reed@rgkcdluitt0pni.org,Woodland,44854,United States,-5,TRUE,43:20.8,
25337581,Mr.,Nathan,Graham,F,S,5/27/1953,Jamaica,nathan.graham@o1xolpdln.org,Walnut Grove,77752,United States,-6,FALSE,43:20.8,
25337638,Miss,Sherri,Taylor,M,D,9/4/1952,Hungary,sherri.taylor@7lrbtvtktnnk.edu,Pleasant Hill,23604,United States,-5,FALSE,43:20.8,
25337791,Dr.,Terry,Boucher,M,W,2/14/1940,Mexico,terry.boucher@r2purpbmigejb2gj.edu,Summit,50499,United States,-6,TRUE,43:20.8,
25337796,Dr.,Harry,Mccoy,M,S,9/18/1926,Guernsey,harry.mccoy@nr4p.org,Unionville,71711,United States,-6,FALSE,43:20.8,
25337832,Mr.,Charles,Watts,M,S,10/10/1950,Bermuda,charles.watts@ois.com,Harmony,85804,United States,-7,TRUE,43:20.8,
25337850,Sir,Raul,Burton,M,W,10/17/1983,Canada,raul.burton@cqpybq1kmeda1e1i.edu,Mountain View,64466,United States,-7,TRUE,43:20.8,
25337854,Mrs.,Ashley,Avalos,M,U,3/13/1931,Japan,ashley.avalos@kr6v.com,Concord,24107,United States,-5,FALSE,43:20.8,
25337865,Dr.,Sandra,Mack,F,S,2/26/1929,Aland Islands,sandra.mack@2zg2.org,Hamilton,22808,United States,-5,TRUE,43:20.8,
25337871,Miss,Pamela,Lane,M,S,10/16/1949,Morocco,pamela.lane@brnbftyi.edu,Greenwood,9428,United States,-5,FALSE,43:20.8,
25337876,Sir,David,Williams,M,W,2/3/1987,Cyprus,david.williams@pg2by7m.com,Wildwood,16871,United States,-5,TRUE,43:20.8,
25337886,Mr.,Grant,Rooney,F,S,3/28/1951,Togo,grant.rooney@lqqsgtn.edu,Maple Grove,58252,United States,-6,FALSE,43:20.8,
25337887,Dr.,Sadie,Cooper,F,M,10/1/1971,Aruba,sadie.cooper@f9.edu,Spring Valley,96060,United States,-8,TRUE,43:20.8,
25337890,Sir,Robert,Cloutier,F,W,8/11/1928,Bangladesh,robert.cloutier@xntqs9eoj82zv6.com,New Hope,69431,United States,-7,FALSE,43:20.8,
25337894,Dr.,Norman,Daley,M,S,11/1/1951,Cambodia,norman.daley@bldlapaus.org,Glenwood,4111,United States,-5,FALSE,43:20.8,
25337897,Miss,Angelica,Howell,M,M,5/20/1963,Ecuador,angelica.howell@ja7makcxcql.com,Holly Springs,27484,United States,-5,TRUE,43:20.8,
25337914,Dr.,Jeanne,Downey,F,M,5/23/1934,Barbados,jeanne.downey@l3k0lapctz85jzxvut.org,Oakwood,80169,United States,-7,TRUE,43:20.8,
25337924,Mr.,Rene,Johnson,M,M,12/3/1963,Martinique,rene.johnson@kzise2ejm2.org,Kingston,54975,United States,-6,FALSE,43:20.8,
25337927,Sir,Kirk,Worden,F,S,12/17/1931,Timor-Leste,kirk.worden@eq4ydqa2lgqepeess.edu,Lakeside,89532,United States,-7,TRUE,43:20.8,
25337974,Mr.,Alvin,Hopkins,M,S,10/6/1972,Georgia,alvin.hopkins@hb8h.com,Wayland,25115,United States,-5,FALSE,43:20.8,
25337998,Mr.,Steve,York,M,U,1/23/1973,Oman,steve.york@x7hgyd8qbhetevjss.edu,Greenwood,78828,United States,-6,TRUE,43:20.8,
25338019,Ms.,Jessica,Gonzalez,F,M,11/24/1927,French Guiana,jessica.gonzalez@lvjlijjchcymogk.org,Edgewood,669,United States,-5,TRUE,43:20.8,
25338041,Mr.,Ben,Mendez,F,M,1/27/1974,Australia,ben.mendez@3pvehy7p70.edu,Riverview,69003,United States,-6,FALSE,43:20.8,
25338052,Dr.,Lucrecia,Brown,M,M,12/24/1986,Seychelles,lucrecia.brown@nuiutfjbmm3j.org,Centerville,80059,United States,-7,FALSE,43:20.8,
25338053,Sir,Mitchell,Lane,M,W,12/12/1963,Burundi,mitchell.lane@ezz9xfqm.edu,Antioch,38605,United States,-5,TRUE,43:20.8,
25338059,Miss,Arthur,Russell,M,M,11/18/1935,Turkmenistan,arthur.russell@ectuqm5.org,Spring Valley,6660,United States,-5,TRUE,43:20.8,
25338082,Dr.,Suzanne,Figueroa,M,W,12/4/1945,Egypt,suzanne.figueroa@akniuigb.org,Riverdale,59391,United States,-7,FALSE,43:20.8,
25338096,Dr.,Kevin,Lopez,M,S,2/29/1940,Tajikistan,kevin.lopez@7roqcing1v5ed.edu,Green Acres,77683,United States,-6,TRUE,43:20.8,
25338098,Ms.,Donna,Fleming,F,S,9/16/1945,Belize,donna.fleming@zjigmytcuan.org,Walnut Grove,57752,United States,-6,TRUE,43:20.8,
25338124,Miss,Peggy,Tucker,F,U,8/29/1966,Russian Federation,peggy.tucker@ha0okefykigrfoj7.org,Star,70725,United States,-6,FALSE,43:20.8,
25338127,Sir,David,Roney,M,S,2/4/1964,Mali,david.roney@urt8cu.com,Riverview,59003,United States,-6,FALSE,43:20.8,
25338144,Dr.,Noel,Case,F,M,5/23/1933,Antarctica,noel.case@fhgvgbhixtapvp6.org,Crossroads,70534,United States,-6,FALSE,43:20.8,
25338154,Sir,William,Martinez,F,D,4/16/1928,Comoros,william.martinez@jgnfy5v.com,Harmony,75804,United States,-6,TRUE,43:20.8,
25338159,Ms.,Valerie,Redmon,M,D,12/17/1961,French Polynesia,valerie.redmon@zhhlauzabry.com,Ashland,64244,United States,-6,TRUE,43:20.8,
25338172,Dr.,Cindy,Johnson,F,S,11/4/1958,Timor-Leste,cindy.johnson@l3a2fazml.edu,Woodland,54854,United States,-7,TRUE,43:20.8,
25338181,Miss,Michelle,Reynolds,F,U,4/11/1980,Argentina,michelle.reynolds@ns3clbvbascsimkvqmm.com,Lakeview,78579,United States,-6,FALSE,43:20.8,
25338196,Mrs.,Dorothy,Olsen,F,D,8/30/1987,Montserrat,dorothy.olsen@hfoakfdmmq9ar6frm7rt.com,Liberty,53451,United States,-6,TRUE,43:20.8,
25338242,Sir,Rodney,Muniz,M,D,12/20/1992,Niger,rodney.muniz@v0mrrzpv.edu,Centerville,20059,United States,-5,TRUE,43:20.8,
25338253,Dr.,Mindy,Lane,M,U,12/7/1967,Cayman Islands,mindy.lane@hmri5fx2p.edu,Mount Olive,48059,United States,-5,FALSE,43:20.8,
25338270,Sir,John,Howard,M,S,5/28/1939,Panama,john.howard@2g.edu,Antioch,38605,United States,-6,TRUE,43:20.8,
25338280,Miss,Beth,Hinton,F,M,3/30/1968,Togo,beth.hinton@9vgjtk7sldh.org,Wilson,76971,United States,-6,FALSE,43:20.8,
25338312,Dr.,Marlon,Adams,M,D,7/11/1979,Slovenia,marlon.adams@dkokrpuyokmy.org,Maple Grove,98252,United States,-8,FALSE,43:20.8,
25338318,Mr.,James,Francis,M,S,12/12/1978,Benin,james.francis@odrf5z.org,Florence,63394,United States,-7,FALSE,43:20.8,
25338328,Ms.,Nancy,Brown,M,S,2/8/1955,Slovakia,nancy.brown@mzrnhdimzu.org,Bethel,85281,United States,-7,TRUE,43:20.8,
25338344,Mr.,Alvin,Wallis,F,S,5/16/1963,Argentina,alvin.wallis@6ouyyvxmqosfjd.com,Oak Grove,18370,United States,-5,TRUE,43:20.8,
25338428,Miss,Alexander,Rice,M,M,6/27/1947,Comoros,alexander.rice@qmiucfypzk5.org,Oak Hill,77838,United States,-6,TRUE,43:20.8,
25338455,Mr.,Andy,Tripp,M,S,2/16/1984,Iceland,andy.tripp@ntv9j07nly08kzth.com,Pine Grove,44593,United States,-5,TRUE,43:20.8,
25338482,Dr.,James,Garcia,M,U,12/2/1946,Anguilla,james.garcia@mreeg8mon9srh.org,Oakwood,60169,United States,-7,FALSE,43:20.8,
25338493,Sir,Henry,Luna,F,D,12/14/1965,Austria,henry.luna@opjjf2ttuot3.com,Edgewood,40069,United States,-5,FALSE,43:20.8,
25338522,Sir,Scott,Livingston,F,D,9/20/1953,CÔte D'ivoire,scott.livingston@tndmxfp0nhlg7d3ap10.org,Greenwood,88828,United States,-7,FALSE,43:20.8,
25338551,Sir,Geoffrey,Brown,F,D,5/22/1932,Tajikistan,geoffrey.brown@lsu.com,Georgetown,87057,United States,-7,FALSE,43:20.8,
25338565,Dr.,Jose,White,F,D,12/3/1937,Madagascar,jose.white@y.com,Allentown,61838,United States,-6,FALSE,43:20.8,
25338569,Miss,Estelle,Lentz,M,M,3/7/1967,Wallis And Futuna,estelle.lentz@0radutyn5mtbql2ztr.edu,Spring Valley,36060,United States,-6,TRUE,43:20.8,
25338573,Dr.,Carl,Swain,M,U,5/5/1969,Italy,carl.swain@codgzdzqyyzzqp3.edu,Farmersville,69305,United States,-7,FALSE,43:20.8,
25338581,Mr.,Paul,Vasquez,M,D,10/17/1965,Turkmenistan,paul.vasquez@fu0tde3rri.edu,Plainview,63683,United States,-6,TRUE,43:20.8,
25338583,Miss,Danielle,Cook,F,S,2/10/1983,Russian Federation,danielle.cook@lrqxfblsxqx.org,Union Hill,67746,United States,-7,FALSE,43:20.8,
25338588,Mr.,Allan,Johnson,F,U,5/26/1926,Comoros,allan.johnson@xvedtuvftt.edu,Pleasant Grove,84136,United States,-7,TRUE,43:20.8,
25338604,Sir,Dennis,Curran,F,D,12/15/1971,Liberia,dennis.curran@7fqq8oauue.com,Oak Ridge,68371,United States,-6,TRUE,43:20.8,
25338609,Dr.,Danielle,Fields,M,D,5/13/1978,Guinea,danielle.fields@jq7dfxnafzmho8.org,Newtown,71749,United States,-6,FALSE,43:20.8,
25338615,Dr.,Jeffrey,Wiley,M,W,7/19/1974,Singapore,jeffrey.wiley@blqm3hgydgjtyiqmgcer.org,Belmont,40191,United States,-5,TRUE,43:20.8,
25338618,Mrs.,Marlene,Thompson,F,D,1/17/1927,Djibouti,marlene.thompson@bikh2.com,Oak Grove,48370,United States,-5,FALSE,43:20.8,
25338632,Sir,Charles,Love,M,U,2/15/1949,Niger,charles.love@6q.org,Forest Hills,59237,United States,-7,FALSE,43:20.8,
